timestamp,routes
2013-01-18 19:00:14, 1
2013-01-13 00:00:00, 33
2013-01-13 09:20:00, 45
2013-01-13 08:10:00, 18
2013-01-13 08:43:00, 6
2013-01-13 07:33:00, 19
2013-01-07 07:00:28, 1
2013-01-13 09:37:00, 69
2013-01-13 03:47:00, 19
2013-01-13 00:17:00, 3
2013-01-18 18:57:24, 1
2013-01-13 13:07:00, 3
2013-01-13 10:14:00, 26
2013-01-13 04:24:00, 40
2013-01-13 00:54:00, 5
2013-01-13 04:51:00, 26
2013-01-13 10:41:00, 69
2013-01-13 11:08:00, 61
2013-01-18 18:28:38, 1
2013-01-13 01:48:00, 2
2013-01-13 05:45:00, 4
2013-01-13 02:15:00, 17
2013-01-13 11:35:00, 12
2013-01-19 00:33:13, 1
2013-01-13 02:42:00, 42
2013-01-13 06:12:00, 7
2013-01-18 23:12:33, 1
2013-01-13 06:39:00, 24
2013-01-13 03:09:00, 15
2013-01-05 16:55:00, 1
2013-01-13 07:43:00, 7
2013-01-13 08:20:00, 22
2013-01-13 06:29:00, 8
2013-01-13 07:06:00, 13
2013-01-19 16:43:36, 1
2013-01-13 09:10:00, 16
2013-01-13 09:47:00, 67
2013-01-13 10:24:00, 77
2013-01-13 08:33:00, 10
2013-01-07 16:33:18, 1
2013-01-13 13:34:00, 1
2013-01-13 04:14:00, 12
2013-01-14 18:01:00, 1
2013-01-13 05:55:00, 5
2013-01-14 00:35:00, 1
2013-01-13 04:41:00, 59
2013-01-13 01:38:00, 1
2013-01-13 10:58:00, 42
2013-01-13 03:19:00, 32
2013-01-13 16:36:00, 1
2013-01-13 02:05:00, 21
2013-01-13 11:25:00, 42
2013-01-13 06:02:00, 3
2013-01-13 07:16:00, 21
2013-01-13 05:25:00, 2
2013-01-13 10:51:00, 83
2013-01-13 02:08:00, 21
2013-01-08 11:01:15, 1
2013-01-13 11:28:00, 21
2013-01-13 08:23:00, 21
2013-01-13 09:00:00, 6
2013-01-13 09:27:00, 35
2013-01-13 06:32:00, 12
2013-01-13 03:02:00, 3
2013-01-13 00:07:00, 39
2013-01-13 09:54:00, 15
2013-01-13 06:59:00, 15
2013-01-13 04:04:00, 6
2013-01-13 03:29:00, 81
2013-01-13 13:24:00, 11
2013-01-10 15:08:42, 1
2013-01-13 00:34:00, 5
2013-01-01 15:11:48, 1
2013-01-13 04:31:00, 51
2013-01-13 07:26:00, 9
2013-01-13 10:21:00, 55
2013-01-13 07:53:00, 13
2013-01-13 04:58:00, 8
2013-01-13 14:18:00, 1
2013-01-10 09:36:18, 1
2013-01-05 17:34:11, 1
2013-01-13 03:12:00, 21
2013-01-13 01:58:00, 5
2013-01-13 11:18:00, 75
2013-01-13 02:35:00, 32
2013-01-13 11:55:00, 49
2013-01-13 00:44:00, 4
2013-01-13 10:04:00, 3
2013-01-13 03:39:00, 32
2013-01-18 21:01:45, 1
2013-01-13 08:50:00, 4
2013-01-13 02:25:00, 16
2013-01-13 11:45:00, 29
2013-01-13 10:31:00, 104
2013-01-13 07:36:00, 29
2013-01-13 09:17:00, 19
2013-01-13 06:22:00, 8
2013-01-13 08:03:00, 14
2013-01-13 05:08:00, 4
2013-01-13 03:54:00, 26
2013-01-13 06:49:00, 19
2013-01-13 13:14:00, 17
2013-01-13 04:21:00, 16
2013-01-13 10:38:00, 75
2013-01-13 05:58:00, 4
2013-01-13 05:21:00, 2
2013-01-13 10:01:00, 7
2013-01-13 00:41:00, 5
2013-01-13 10:55:00, 56
2013-01-13 06:52:00, 19
2013-01-13 02:12:00, 27
2013-01-13 11:32:00, 7
2013-01-13 06:15:00, 6
2013-01-19 14:36:15, 1
2013-01-13 03:06:00, 8
2013-01-13 07:46:00, 13
2013-01-13 08:13:00, 11
2013-01-13 03:33:00, 73
2013-01-13 04:00:00, 6
2013-01-13 08:40:00, 3
2013-01-13 13:20:00, 18
2013-01-13 04:27:00, 38
2013-01-13 09:07:00, 6
2013-01-18 10:09:13, 1
2013-01-08 07:51:16, 1
2013-01-10 11:02:44, 1
2013-01-07 19:41:25, 1
2013-01-13 04:54:00, 13
2013-01-13 00:14:00, 7
2013-01-13 09:34:00, 59
2013-01-13 04:17:00, 25
2013-01-18 21:18:35, 1
2013-01-07 18:48:51, 1
2013-01-13 07:56:00, 9
2013-01-13 03:16:00, 22
2013-01-13 06:42:00, 16
2013-01-13 02:02:00, 18
2013-01-13 11:22:00, 65
2013-01-13 07:19:00, 19
2013-01-13 11:59:00, 41
2013-01-13 02:39:00, 22
2013-01-13 06:05:00, 3
2013-01-13 10:45:00, 79
2013-01-13 07:09:00, 23
2013-01-13 02:29:00, 15
2013-01-13 11:49:00, 44
2013-01-10 14:27:28, 1
2013-01-19 18:30:00, 1
2013-01-08 08:04:43, 1
2013-01-13 05:04:00, 3
2013-01-13 00:24:00, 2
2013-01-13 09:44:00, 64
2013-01-13 10:11:00, 12
2013-01-13 03:50:00, 21
2013-01-13 08:30:00, 3
2013-01-13 13:10:00, 8
2013-01-13 08:57:00, 1
2013-01-07 22:21:59, 1
2013-01-13 05:31:00, 2
2013-01-13 00:51:00, 4
2013-01-08 03:13:19, 1
2013-01-13 01:55:00, 8
2013-01-13 06:35:00, 11
2013-01-13 11:15:00, 73
2013-01-13 02:32:00, 21
2013-01-13 04:44:00, 38
2013-01-13 00:04:00, 42
2013-01-13 09:24:00, 49
2013-01-13 04:07:00, 12
2013-01-13 08:47:00, 9
2013-01-13 13:27:00, 1
2013-01-13 08:06:00, 20
2013-01-13 03:26:00, 57
2013-01-13 07:29:00, 11
