"lat","lng","count"
"40.742228","-73.997434","2"
"-73.979077","40.740393","2"
"40.725072","-74.011044","6"
"40.76916","-73.99486","6"
"40.800551","-73.957856","2"
"-73.992006","40.749101","2"
"40.710969","-74.014447","2"
"40.75769","-73.982254","2"
"40.727822","-73.99527","2"
"40.734149","-73.999188","2"
"-73.994059","40.772219","2"
"-74.008255","40.750553","2"
"-73.982727","40.745181","2"
"-73.990752","40.734816","30"
"-73.99011","40.735188","2"
"-73.999587","40.763055","2"
"-73.978184","40.741629","2"
"40.769976","-73.994903","2"
"40.767034","-73.993263","2"
"40.757284","-73.978565","6"
"-73.984972","40.758538","2"
"40.760418","-73.976289","2"
"-73.959086","40.799358","2"
"-73.955208","40.799405","6"
"40.721631","-74.011665","6"
"-73.96895","40.795986","2"
"40.753089","-74.007079","2"
"40.733841","-74.010083","6"
"40.752814","-73.981822","2"
"-73.958023","40.800806","2"
"-73.974692","40.746388","2"
"40.737729","-73.988578","2"
"-73.975558","40.752116","2"
"40.727211","-73.995847","2"
"-73.99468","40.77077","2"
"40.799989","-73.9543","2"
"-73.97604","40.751437","2"
"40.763439","-73.998969","2"
"-73.989847","40.777978","2"
"-73.984078","40.743326","2"
"-73.974997","40.777533","6"
"40.800761","-73.958448","2"
"-73.997845","40.761505","2"
"-74.010418","40.730543","6"
"-74.007696","40.747757","2"
"40.80036","-73.958264","2"
"-73.987302","40.738901","2"
"40.769907","-73.994563","2"
"40.737147","-73.989045","2"
"40.734672","-73.99505","2"
"40.746402","-73.980209","2"
"-74.011387","40.723624","6"
"40.765288","-73.997658","6"
"-73.958632","40.799988","2"
"-73.992805","40.742901","2"
"-73.976744","40.759165","2"
"-73.978179","40.741635","2"
"-73.993143","40.773467","2"
"-73.991921","40.731166","6"
"40.753481","-73.981372","2"
"40.745241","-74.008126","6"
"-74.008203","40.749806","2"
"-73.976516","40.754974","2"
"-73.982267","40.73602","2"
"-74.00992","40.738985","6"
"-73.994252","40.728412","2"
"-74.013731","40.713708","2"
"40.738901","-73.987726","2"
"-73.991118","40.776288","2"
"40.733437","-73.995914","2"
"40.74792","-73.974044","2"
"-73.973144","40.748534","2"
"40.767345","-73.968624","2"
"-73.99658","40.742811","2"
"-73.990209","40.735108","2"
"40.735204","-73.993618","2"
"40.769249","-73.995955","2"
"-73.958137","40.800344","2"
"-74.007035","40.753777","2"
"-73.988152","40.737729","2"
"40.755405","-73.979938","2"
"40.723021","-73.999853","2"
"-74.009843","40.738023","6"
"40.767429","-73.996908","2"
"40.771199","-73.994233","2"
"40.781988","-73.986693","2"
"-73.98156","40.743882","2"
"-73.988951","40.76348","2"
"-73.974224","40.759739","2"
"-74.0101","40.733841","6"
"-73.989045","40.736546","2"
"40.74868","-74.00777","2"
"40.777978","-73.990405","2"
"-73.976912","40.774909","2"
"-73.963867","40.802984","2"
"-74.006701","40.75435","2"
"40.732847","-73.999019","2"
"40.711883","-74.014228","2"
"-74.008688","40.742352","6"
