A8A34A71C596617DB288916DC5012E76,D7B97032052BBC1AFA5E0FEDDD88D6EB,VTS,1,,2013-01-13 03:53:00,2013-01-13 04:00:00,1,420,1.50,-73.988625,40.718716,-73.977921,40.729408
68DFEC47CCD06D40F5BA932BDE64D360,5F70C7FDF2E4FE930DCF92CFE9EE4E56,VTS,1,,2013-01-13 03:39:00,2013-01-13 04:00:00,1,1260,3.47,-73.994591,40.724693,-73.946251,40.715538
AD7F4B3C2892DABC703C7F5A73A59897,3B7D8C517E998D4B923B725645DF2FCA,VTS,1,,2013-01-13 03:38:00,2013-01-13 04:02:00,1,1440,7.13,-74.001518,40.730846,-73.959892,40.644146
2A487A0A70F8C672070050A3CF7C376B,8B0D6FA15A2FAB79C4CE962168B3F80C,VTS,1,,2013-01-13 03:53:00,2013-01-13 04:01:00,1,480,1.66,-73.971336,40.794434,-73.948006,40.788769
A7E57BD0399359945279DB450CD6492F,EBADC4F430871218FDB48F528F9EE27F,VTS,1,,2013-01-13 04:48:00,2013-01-13 05:06:00,2,1080,15.18,-73.807388,40.714478,-74.001778,40.675182
E2237FF6441FF33BE542697E591635EA,E42FA7D34BD77917FDBCF8F85C8AB01B,VTS,1,,2013-01-13 05:03:00,2013-01-13 05:05:00,1,120,.00,-73.966721,40.632652,-73.966698,40.632687
C8C0883037778AB88FA31A0A673DC91F,8991EDC10A2A8C2FABE59A2BEE9ECC5C,VTS,1,,2013-01-13 04:54:00,2013-01-13 05:05:00,1,660,3.85,-73.991814,40.735226,-73.960175,40.767826
93D6821F86A12B537C5EADBDFB432CA7,38CC7E3B615CCC832F93B18F03697D39,VTS,1,,2013-01-13 05:04:00,2013-01-13 05:07:00,1,180,.76,-73.954002,40.770287,-73.954002,40.770287
A47AD2D8C7273EEF99AE063BE87B46A1,5A0FBBFC8D771E527031CC4E222EF85D,VTS,1,,2013-01-13 11:09:00,2013-01-13 11:19:00,6,600,2.15,-73.961121,40.764782,-73.984184,40.753567
2236842A05A21454CC92A6BCCA9CEBB3,DC7F87794AC7FDA5C7BA9BBEEBF32E2B,VTS,1,,2013-01-13 11:17:00,2013-01-13 11:20:00,6,180,.83,-73.964554,40.807327,-73.970123,40.799587
4AC606EB5CB7CFAE5A51E18C04483E00,9E98D2C2B392ECA999ABFFA9F461FAE9,VTS,1,,2013-01-13 11:15:00,2013-01-13 11:21:00,1,360,1.52,-73.974709,40.787827,-73.966301,40.804821
8CDC3E0DFD4376F550F69FA1B6AF0B2F,C81D2CAD3A109FCFE85BE5BE60A6CD73,VTS,1,,2013-01-13 11:07:00,2013-01-13 11:22:00,5,900,2.99,-74.004677,40.747211,-73.989922,40.720348
7DC84BC540920BAF00E6F316F016EEEC,AD2DD518168817396472B486A09E3023,VTS,1,,2013-01-13 11:17:00,2013-01-13 11:22:00,1,300,.86,-73.989052,40.758011,-73.999062,40.75996
AF945F5C7393CFBE8F787E88FC59E71F,E827883E6923CA7CE19D5CD96C17F449,VTS,1,,2013-01-13 06:20:00,2013-01-13 06:24:00,6,240,1.30,-74.006737,40.744076,-73.99501,40.757797
1F9D9AFAA6230CCF52497022E6D081E7,7007A19F236D3E76BEE1335040E4AC1D,VTS,1,,2013-01-13 06:13:00,2013-01-13 06:19:00,3,360,1.16,-73.977852,40.734066,-73.978699,40.74514
F01BC9DAD356135B2309B04F6B453E50,06E7F5C8C5C94320800DE14F0DC1D482,VTS,1,,2013-01-13 06:17:00,2013-01-13 06:27:00,1,600,3.80,-73.972496,40.754166,-73.925407,40.738186
EDFF571B9882AAF054750C6315F0AD4E,22A376E7A89C684F163AC0A709B70DFF,VTS,1,,2013-01-13 06:01:00,2013-01-13 06:27:00,5,1560,7.82,-73.936096,40.697475,-73.979027,40.766956
6204D2988E75007ADDC410D3AD59CD01,B76D3E03346F6A3A8E48DB7711E7CBCA,VTS,1,,2013-01-13 06:15:00,2013-01-13 06:25:00,1,600,2.77,0,0,0,0
67424A3EE2C533FC4522FFB2C0903E9F,A60B81221D5A69CF23D9027BD220F4F7,VTS,1,,2013-01-13 06:02:00,2013-01-13 06:22:00,1,1200,9.13,-73.959534,40.762669,-73.872818,40.774448
A97A607480A68CCAF2043CF96763A4E6,C9966F13B419E364AA3D5EF5F06BD000,VTS,1,,2013-01-13 06:21:00,2013-01-13 06:26:00,6,300,1.12,-73.985886,40.763,-73.990784,40.750755
CB93B00B0DA34D8675A8502D51A05E27,ADFB9D1738D6663E3F257B5A2A1CA6B7,VTS,1,,2013-01-13 06:10:00,2013-01-13 06:24:00,1,840,5.20,-73.992844,40.719818,-73.909233,40.682137
19B23C50462B14FDB66B58879E4D1FD1,B7661DF207AD66261466F11C1709B0EE,VTS,1,,2013-01-13 06:19:00,2013-01-13 06:27:00,3,480,3.09,-73.971733,40.78693,-73.994675,40.750381
58A836AD639867DB949723BA2A941734,B5F5D64520D7376BAEEF5CA553C0C675,VTS,1,,2013-01-13 06:28:00,2013-01-13 06:32:00,2,240,.91,-73.984573,40.760826,-73.992119,40.749603
48AF40EE8CFA87D6B6F4BD0D6C00AFA7,E21FB949FEBB6DBF8F0ACD45EBB127E3,VTS,1,,2013-01-13 06:15:00,2013-01-13 06:27:00,5,720,3.97,-73.945305,40.752361,-73.991455,40.727055
F7438C53E29D81904F99C98C0A360F4D,D8A5B759219163DC6A0F774A55189C39,VTS,1,,2013-01-13 06:13:00,2013-01-13 06:26:00,1,780,5.95,-73.974876,40.753117,-73.919708,40.813393
